Year,Lectionary Number,Sunday or Feast,First Reading,Responsorial Psalm,Second Reading,Alleluia,Gospel
B,26,2nd Sunday of Lent,"Gen 22:1-2, 9a, 10-13, 15-18","Ps 116:10+15, 16-17, 18-19",Rom 8:31b-34,cf. Matt 17:5,Mark 9:2-10
B,29,3rd Sunday of Lent,"Exod 20:1-17
 or 20:1-3, 7-8, 12-17","Ps 19:8, 9, 10, 11",1 Cor 1:22-25,John 3:16,John 2:13-25
B,32,4th Sunday of Lent,"2 Chr 36:14-16, 19-23 (diff)","Ps 137:1-2, 3, 4-5, 6",Eph 2:4-10,John 3:16,John 3:14-21
B,35,5th Sunday of Lent,Jer 31:31-34,"Ps 51:3-4, 12-13, 14-15",Heb 5:7-9,John 12:26,John 12:20-33
,24,1st Sunday of Lent,Deut 26:4-10 (diff),"Ps 91:1-2, 10-11, 12-13, 14-15",Rom 10:8-13,Matt 4:4b,Luke 4:1-13
,27,2nd Sunday of Lent,"Gen 15:5-12, 17-18","Ps 27:1, 7-8a, 8b-9, 13-14","Phil 3:17–4:1
 or 3:20–4:1",cf. Matt 17:5,Luke 9:28b-36
,30,3rd Sunday of Lent,"Exod 3:1-8a, 13-15","Ps 103:1-2, 3-4, 6-7, 8+11","1 Cor 10:1-6, 10-12",Matt 4:17,Luke 13:1-9
,33,4th Sunday of Lent,"Josh 5:9a, 10-12","Ps 34:2-3, 4-5, 6-7",2 Cor 5:17-21,Luke 15:18,"Luke 15:1-3, 11-32"
,36,5th Sunday of Lent,Isa 43:16-21,"Ps 126:1-2a, 2b-3, 4-5, 6",Phil 3:8-14,Joel 2:12-13,John 8:1-11
A,37,"Palm Sunday of the 
 Passion of the Lord:
 At the Procession 
 with Palms",x,x,x,x,Matt 21:1-11
B,37,"Palm Sunday of the 
 Passion of the Lord:
 At the Procession 
 with Palms",x,x,x,x,"
 Mark 11:1-10 or John 12:12-16"
C,37,"Palm Sunday of the 
 Passion of the Lord:
 At the Procession 
 with Palms",x,x,x,x,Luke 19:28-40
A,38,"Palm Sunday: 
 At the Mass",Isa 50:4-7,"Ps 22:8-9, 17-18, 19-20, 23-24",Phil 2:6-11,Phil 2:8-9,Matt 26:14 – 27:66 or 27:11-54
B,38,"Palm Sunday: 
 At the Mass",Isa 50:4-7,"Ps 22:8-9, 17-18, 19-20, 23-24",Phil 2:6-11,Phil 2:8-9,Mark 14:1 – 15:47 or 15:1-39
C,38,"Palm Sunday: 
 At the Mass",Isa 50:4-7,"Ps 22:8-9, 17-18, 19-20, 23-24",Phil 2:6-11,Phil 2:8-9,Luke 22:14 – 23:56 or 23:1-49
